layer_id,x1,y1,x2,y2,pitch
0,136.642,70.0,846.163,70.0,10.0
1,136.642,128.322,846.163,128.322,10.0
2,136.642,186.644,846.163,186.644,10.0
3,136.642,244.966,846.163,244.966,10.0
4,136.642,303.288,846.163,303.288,10.0
5,136.642,361.61,846.163,361.61,10.0
6,136.642,419.932,846.163,419.932,10.0
7,136.642,478.254,846.163,478.254,10.0
8,136.642,536.576,846.163,536.576,10.0
9,136.642,594.898,846.163,594.898,10.0
10,136.642,653.22,846.163,653.22,10.0
11,136.642,711.542,846.163,711.542,10.0
12,136.642,769.864,846.163,769.864,10.0
